programa_id,programa_nombre,programa_jornada,id
1,INVESTIGADOR CRIMINALÍSTICO Y JUDICIAL - Diurna,Diurna,INVESTIGADOR_CRIMINALISTICO_Y_JUDICIAL_-_Diurna
2,INVESTIGADOR CRIMINALÍSTICO Y JUDICIAL - Nocturna,Nocturna,INVESTIGADOR_CRIMINALISTICO_Y_JUDICIAL_-_Nocturna
3,AUXILIAR EN CLINICA VETERINARIA - Diurna,Diurna,AUXILIAR_EN_CLINICA_VETERINARIA_-_Diurna
4,AUXILIAR EN CLINICA VETERINARIA - Nocturna,Nocturna,AUXILIAR_EN_CLINICA_VETERINARIA_-_Nocturna
5,AUXILIAR EN ENFERMERIA - Sabatina,Sabatina,AUXILIAR_EN_ENFERMERIA_-_Sabatina
6,AUXILIAR EN CLINICA VETERINARIA - Sabatina,Sabatina,AUXILIAR_EN_CLINICA_VETERINARIA_-_Sabatina
7,AUXILIAR EN ENFERMERIA - Diurna,Diurna,AUXILIAR_EN_ENFERMERIA_-_Diurna
