programa_id,id,programa_nombre,programa_jornada
INVESTIGADOR_CRIMINALISTICO_Y_JUDICIAL_-_Diurna,1,INVESTIGADOR CRIMINALÍSTICO Y JUDICIAL - Diurna,Diurna
INVESTIGADOR_CRIMINALISTICO_Y_JUDICIAL_-_Nocturna,2,INVESTIGADOR CRIMINALÍSTICO Y JUDICIAL - Nocturna,Nocturna
AUXILIAR_EN_CLINICA_VETERINARIA_-_Diurna,3,AUXILIAR EN CLINICA VETERINARIA - Diurna,Diurna
AUXILIAR_EN_CLINICA_VETERINARIA_-_Nocturna,4,AUXILIAR EN CLINICA VETERINARIA - Nocturna,Nocturna
AUXILIAR_EN_ENFERMERIA_-_Sabatina,5,AUXILIAR EN ENFERMERIA - Sabatina,Sabatina
AUXILIAR_EN_CLINICA_VETERINARIA_-_Sabatina,6,AUXILIAR EN CLINICA VETERINARIA - Sabatina,Sabatina
AUXILIAR_EN_ENFERMERIA_-_Diurna,7,AUXILIAR EN ENFERMERIA - Diurna,Diurna
